Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
298,3314.907,1.25,45.0,27.0,97.15,2257
299,3415.595,1.33,45.0,27.0,93.39,2257
300,3562.127,1.25,45.0,27.0,91.98,2265
301,3484.707,1.25,45.0,27.0,96.75,2265
302,3314.917,1.25,45.0,27.0,96.10,2265
303,3779.312,1.25,45.0,27.0,96.15,2265
304,3758.436,1.25,45.0,27.0,93.61,2257
305,3851.052,1.25,45.0,27.0,94.23,2250
306,3700.304,1.25,45.0,27.0,94.33,2257
307,3832.700,1.25,46.0,27.0,96.13,2280
308,3772.401,1.25,45.0,27.0,92.70,2295
309,4277.010,1.25,45.0,27.0,89.96,2295
310,4218.975,1.25,45.0,27.0,91.04,2295
311,4227.082,1.30,46.0,27.0,89.75,2295
312,4218.975,1.30,45.0,27.0,91.10,2295
313,4218.975,1.30,45.0,27.0,89.42,2295
314,4218.975,1.30,45.0,27.0,91.08,2295
315,4218.975,1.30,45.0,27.0,89.30,2295
316,4218.975,1.30,44.0,27.0,91.14,2272
317,4218.975,1.30,44.0,27.0,89.01,2265
318,4218.975,1.30,44.0,27.0,91.14,2257
319,4255.730,1.30,44.0,27.0,88.63,2257
320,4238.307,1.30,43.0,27.0,91.03,2250
321,4218.975,1.30,43.0,27.0,88.73,2227
322,4218.975,1.31,43.0,27.0,90.69,2227
323,4259.032,1.30,43.0,27.0,91.08,2235
324,4239.227,1.30,43.0,27.0,90.46,2227
325,4218.975,1.30,43.0,27.0,91.14,2220
326,4218.975,1.30,42.0,27.0,90.31,2220
327,4335.070,1.30,42.0,27.0,90.94,2198
328,4248.813,1.30,42.0,27.0,90.08,2184
329,4218.975,1.30,42.0,27.0,91.09,2184
330,4288.224,1.30,42.0,27.0,89.75,2184
331,4218.975,1.30,42.0,27.0,91.14,2191
332,4384.161,1.30,42.0,27.0,89.86,2191
333,4218.975,1.30,41.0,27.0,91.08,2163
334,4218.975,1.30,41.0,27.0,89.64,2156
335,4218.975,1.30,41.0,27.0,91.14,2149
336,4218.975,1.30,41.0,27.0,89.62,2156
337,4268.643,1.30,41.0,27.0,91.10,2156
338,4337.847,1.30,41.0,27.0,89.39,2156
339,4218.975,1.30,41.0,27.0,91.08,2149
340,4218.975,1.30,41.0,27.0,89.33,2149
341,4218.975,1.30,40.0,27.0,91.14,2129
342,4289.073,1.30,40.0,27.0,89.20,2122
343,4218.975,1.30,40.0,27.0,90.92,2109
344,4358.826,1.30,40.0,27.0,88.71,2109
345,4218.975,1.30,40.0,27.0,90.70,2122
346,4275.745,1.30,40.0,27.0,91.14,2115
347,4218.975,1.30,40.0,27.0,90.25,2115
348,4218.975,1.30,40.0,27.0,91.11,2115
349,4375.316,1.30,40.0,27.0,90.04,2115
350,4218.975,1.30,40.0,27.0,91.14,2122
351,4404.751,1.30,39.0,27.0,89.90,2109
352,4218.975,1.30,39.0,27.0,91.13,2083
353,4218.975,1.30,39.0,27.0,89.55,2076
354,4218.975,1.30,39.0,27.0,91.14,2083
355,4273.906,1.31,39.0,27.0,89.46,2076
356,4224.262,1.30,39.0,27.0,90.96,2076
357,4322.756,1.30,39.0,27.0,89.35,2076
358,4308.076,1.30,39.0,27.0,91.10,2076
359,4218.975,1.30,39.0,27.0,89.15,2076
360,4372.979,1.30,39.0,27.0,91.05,2083
361,4218.975,1.30,39.0,27.0,89.11,2076
362,4236.799,1.30,39.0,27.0,91.12,2083
363,4218.975,1.30,39.0,27.0,89.01,2083
364,4218.975,1.30,38.0,27.0,91.05,2051
365,4218.975,1.30,38.0,27.0,88.95,2039
366,4218.975,1.30,38.0,27.0,90.93,2033
367,4218.975,1.30,38.0,27.0,88.77,2033
368,4218.975,1.30,38.0,27.0,90.78,2033
369,4218.975,1.30,38.0,27.0,88.80,2033
370,4218.975,1.30,38.0,27.0,90.66,2033
371,4218.975,1.30,38.0,27.0,90.92,2039
372,4412.539,1.30,38.0,27.0,90.49,2039
373,4484.791,1.30,38.0,27.0,91.04,2039
374,4347.295,1.30,38.0,27.0,90.42,2039
375,4218.975,1.30,38.0,27.0,91.14,2033
376,4218.975,1.30,38.0,27.0,90.26,2033
377,4218.975,1.30,38.0,27.0,91.14,2039
378,4409.606,1.30,37.0,27.0,90.18,2033
379,4218.975,1.30,37.0,27.0,91.10,2002
380,4221.594,1.30,37.0,27.0,87.98,2002
