Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
296,4298.307,1.31,38.0,26.0,87.83,1985
297,4218.975,1.31,38.0,26.0,86.50,1985
298,4218.975,1.31,38.0,26.0,88.72,1991
299,4218.975,1.30,38.0,25.0,87.48,1985
300,4230.577,1.31,38.0,26.0,88.80,1979
301,4218.975,1.31,38.0,26.0,85.72,1979
302,4218.975,1.31,38.0,26.0,89.36,1985
303,4218.976,1.30,38.0,26.0,86.82,1985
304,4218.979,1.31,38.0,26.0,88.83,1979
305,4218.979,1.30,38.0,26.0,85.72,1979
306,4218.980,1.30,38.0,26.0,89.06,1979
307,4218.975,1.31,38.0,26.0,88.18,1979
308,4218.975,1.31,38.0,26.0,87.03,1985
309,4218.975,1.31,38.0,26.0,87.87,1985
310,4218.980,1.30,38.0,26.0,86.64,1979
311,4218.973,1.30,38.0,26.0,88.37,1985
312,4218.975,1.30,38.0,26.0,85.83,1985
313,4225.407,1.30,38.0,26.0,88.46,1985
314,4218.975,1.30,38.0,26.0,87.22,1985
315,4218.975,1.30,38.0,26.0,88.78,1985
316,4269.639,1.31,38.0,26.0,86.12,1979
317,4218.975,1.31,38.0,26.0,88.87,1979
318,4218.975,1.31,38.0,26.0,86.66,1979
319,4218.975,1.31,38.0,26.0,87.37,1985
320,4272.126,1.31,38.0,26.0,88.24,1979
321,4218.975,1.31,38.0,26.0,87.78,1985
322,4218.975,1.31,38.0,26.0,89.09,1979
323,4218.975,1.31,38.0,26.0,86.11,1979
324,4218.972,1.31,38.0,26.0,87.15,1979
325,4218.975,1.30,38.0,26.0,86.01,1973
326,4218.975,1.30,38.0,26.0,88.14,1967
327,4218.970,1.31,38.0,26.0,86.13,1967
328,4218.971,1.30,38.0,26.0,88.37,1979
329,4218.980,1.30,38.0,26.0,86.49,1979
330,4218.970,1.30,38.0,26.0,88.79,1985
331,4218.970,1.31,38.0,26.0,86.96,1979
332,4218.975,1.31,38.0,26.0,86.52,1973
333,4218.969,1.31,38.0,26.0,87.94,1967
334,4218.975,1.31,38.0,26.0,87.16,1973
335,4231.907,1.30,38.0,26.0,88.62,1979
336,4218.975,1.31,38.0,26.0,87.89,1973
337,4218.975,1.31,38.0,26.0,88.96,1973
338,4218.975,1.31,38.0,26.0,85.86,1979
339,4285.878,1.30,38.0,26.0,89.43,1985
340,4218.975,1.31,38.0,26.0,86.91,1979
341,4218.975,1.31,38.0,26.0,87.55,1985
342,4264.522,1.31,38.0,26.0,86.87,1985
343,4298.081,1.30,38.0,26.0,88.19,1985
344,4218.975,1.31,38.0,26.0,86.46,1985
